siteid,sitename,LandUnitDetail,latitudedd,longitudedd,ElevationMeters,PrimaryType,SecondaryType,surveyid,surveydate,surveyors,surveyprotocol,ExtentOfData,seapscore_id,AQ_dewatered,AQ_function,AQ_functionRisk,AQ_discharge,AQ_dischargeRisk,AQ_naturalness,AQ_naturalnessRisk,AQ_persistence,AQ_persistenceRisk,AQ_waterQuality,AQ_waterQualityRisk,AQ_algalPeriphyton,AQ_algalPeriphytonRisk,AQ_aquiferScore,AQ_aquiferRiskScore,GEO_obliterated,GEO_geomorphicFunction,GEO_geomorphicFunctionRisk,GEO_runoutChannel,GEO_runoutChannelRisk,GEO_soilIntegrity,GEO_soilIntegrityRisk,GEO_geomorphicDiversity,GEO_geomorphicDiversityRisk,GEO_naturalDisturbance,GEO_naturalDisturbanceRisk,GEO_geomorphicScore,GEO_geomorphicRiskScore,HAB_isolation,HAB_isolationRisk,HAB_size,HAB_sizeRisk,HAB_quality,HAB_qualityRisk,HAB_nativePlantRole,HAB_nativePlantRoleRisk,HAB_trophicDynamics,HAB_trophicDynamicsRisk,HAB_habitatScore,HAB_habitatRiskScore,BIO_nativePlantRichness,BIO_nativePlantRichnessRisk,BIO_nativeFaunaDiversity,BIO_nativeFaunaDiversityRisk,BIO_sensitivePlantRichness,BIO_sensitivePlantRichnessRisk,BIO_sensitiveFaunaRichness,BIO_sensitiveFaunaRichnessRisk,BIO_nonnativePlantRarity,BIO_nonnativePlantRarityRisk,BIO_nonnativeFaunaRarity,BIO_nonnativeFaunaRarityRisk,BIO_nativePlantDemography,BIO_nativePlantDemographyRisk,BIO_nativeFaunaDemography,BIO_nativeFaunaDemographyRisk,BIO_biotaScore,BIO_biotaRiskScore,FHI_surfaceWQ,FHI_surfaceWQrisk,FHI_flowRegulation,FHI_flowRegulationRisk,FHI_roadTrailRail,FHI_roadTrailRailRisk,FHI_fencing,FHI_fencingRisk,FHI_construction,FHI_constructionRisk,FHI_herbivory,FHI_herbivoryRisk,FHI_recreation,FHI_recreationRisk,FHI_adjacentLand,FHI_adjacentLandRisk,FHI_fireInfluence,FHI_fireInfluenceRisk,FHI_humanImpactScore,FHI_humanImpactRiskScore,AC_informationQuality,AC_informationQualityRisk,AC_culturalSignificance,AC_culturalSignificanceRisk,AC_historicalSignificance,AC_historicalSignificanceRisk,AC_recreationSignificance,AC_recreationSignificanceRisk,AC_economicValue,AC_economicValueRisk,AC_mgmtPlan,AC_mgmtPlanRisk,AC_sciEducValue,AC_sciEducValueRisk,AC_envirCompliance,AC_envirComplianceRisk,AC_legalStatus,AC_legalStatusRisk,AC_adminContextScore,AC_adminContextRiskScore,meanConditionScore,meanConditionRiskScore,nullConditionScores,nullRiskScores,managementRecommendations
1113,T-Six Spring,"Coconino NF, Mormon Lake RD",34.90741,-111.59618,2092,helocrene,hillslope,1311727153,6/22/2012,"Kyle Paffett, Jen Williams, and Vera Markgraf",Stevens et al. Level 2,4,766,0,4,2,1,2,4,3,4,2,5,2,3,2,3.5,2.16667,0,4,2,4,2,5,2,3,2,4,3,4,2.2,5,,3,2,4,3,5,2,5,3,4.4,2.5,6,1,4,3,4,2,3,4,5,2,5,3,6,1,3,4,4.5,2.5,5,1,4,2,4,3,5,2,3,4,4,2,4,3,4,3,,,4.125,2.85714,2,2,6,6,1,2,3,3,2,2,1,5,2,2,0,3,1,2,2,3,4.1,2.34167,0,1,Remove concrete stock tank and pipe in the middle of the spring site. Fix or remove fencing around spring site. Determine if diversion above spring site on private land is legal. Remove road near springs site.
1036,Middle Kehl Meadow Spring,"Coconino NF, Mogollon Rim RD",34.44493,-111.31868,2311,helocrene,rheocrene,-1540123490,8/9/2012,Kyle Paffett and Vera Markgraf,Stevens et al. Level 2,6,767,0,5,1,2,1,5,1,4,1,5,1,5,1,4.33333,1,0,5,3,5,3,5,2,5,1,5,3,5,2.4,3,,2,2,5,2,5,2,4,4,3.8,2.5,5,1,4,3,5,3,2,4,5,2,1,4,6,2,2,4,3.75,2.875,5,2,6,1,2,4,6,1,6,1,4,3,3,4,4,3,,,4.5,2.71429,2,2,6,6,2,2,5,3,1,2,1,3,1,2,0,1,2,2,2.22222,2.55556,4.22083,2.19375,0,1,Remove ATV trails near and through the spring. Exclude cattle from spring source.
956,Dove Spring,"Coconino NF, Mogollon Rim RD",34.87316,-111.37323,2229,hillslope,helocrene,-971566137,6/11/2012,"Kyle Paffett, Tom Bean, and Susan Bean",Stevens et al. Level 2,5,768,0,5,1,2,2,5,2,3,2,5,1,4,2,4,1.66667,0,3,1,4,2,4,2,3,1,3,4,3.4,2,5,,3,2,3,3,4,2,3,4,3.6,2.75,3,2,2,3,0,6,0,6,3,2,3,3,4,2,3,3,2.25,3.375,3,3,5,2,4,2,5,1,3,5,5,3,4,2,4,3,,,4.125,3,3,2,6,6,1,2,6,2,2,2,1,3,4,2,0,1,5,2,3.11111,2.44444,3.3125,2.44792,0,1,"We recommend removing the piping at the spring site., and fixing or removing the fencing around the spring souce."
1055,Paterson Spring,"Coconino NF, Peaks RD",35.15664,-111.80714,2222,hillslope,,-594328580,8/4/2012,"Kyle Paffett, Vera Markgraf, and Quintin Van Dyke",Stevens et al. Level 2,2,769,0,5,3,0,3,0,3,0,3,0,3,0,3,0.83333,3,0,1,3,4,3,4,2,2,2,4,3,3,2.6,5,,1,3,1,3,1,3,1,3,1.8,3,1,3,0,3,0,3,0,3,3,3,3,3,2,3,1,3,1.25,3,0,3,4,3,4,2,6,1,6,1,4,3,5,2,3,4,,,4,2.71429,2,2,6,6,1,2,3,4,1,3,0,5,1,3,0,3,0,2,1.55556,3.33333,1.72083,2.9,0,1,Remove concrete structures and close road that goes near the source.
1025,Middle Leonard Canyon Spring #2,"Coconino NF, Mogollon Rim RD",34.399,-111.14624,2403,anthropogenic,limnocrene,1422015114,8/11/2012,Kyle Paffett and Vera Markgraf,Stevens et al. Level 2,5,770,0,5,1,1,2,5,2,3,2,5,2,2,2,3.5,1.83333,0,1,4,3,3,2,5,1,5,4,3,2.2,4,4,,2,2,2,3,4,2,3,4,3.2,2.75,1,4,1,4,1,4,1,4,6,1,5,3,5,2,4,3,3,3.125,4,3,3,3,3,3,6,1,6,1,2,3,4,3,4,4,,,4,3,2,1,6,6,2,2,5,3,1,2,1,3,2,2,0,1,2,2,2.33333,2.44444,2.975,2.92708,0,1,Surveyors did not note any recommendations.
426,Bone Dry Springs,"Coconino NF, Mogollon Rim RD",34.48296,-111.28056,2195,hillslope,hypocrene,-683915709,8/10/2012,"Kyle Paffett, Vera Markgraf, Abe Springer, and Gerald Higa",Stevens et al. Level 2,3,771,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,6,2,6,2,6,2,6,2,4,3,5.6,2.2,3,,2,4,2,4,2,3,1,5,2,4,2,4,1,5,1,3,1,5,3,4,6,4,2,3,1,5,2.125,4.125,0,4,6,1,4,3,6,1,6,1,4,3,5,2,3,3,,,4.25,2.57143,1,2,6,6,2,2,6,2,1,2,1,3,1,2,0,1,0,2,2,2.44444,2.43125,3.58125,0,1,Surveyors did not record any management recommendations.
989,Homestead Spring,"Coconino NF, Mogollon Rim RD",34.47081,-111.28548,2212,hillslope,rheocrene,2121829320,8/10/2012,"Kyle Paffett, Abe Springer, Vera Markgraf, and Gerald Higa",Stevens et al. Level 2,3,772,0,5,2,1,3,5,2,1,3,5,2,0,2,2.83333,2.33333,0,4,2,4,3,4,2,5,2,4,3,4.2,2.4,2,,3,2,3,3,4,2,3,3,3.6,2.5,4,3,2,4,2,3,1,4,3,2,5,3,3,2,2,3,2.75,3,5,1,5,1,4,3,6,1,6,1,4,3,5,2,4,3,,,4.875,2.14286,1,2,6,6,3,2,6,2,2,2,1,3,3,2,0,1,0,2,2.44444,2.44444,3.34583,2.55833,0,1,Surveyors did not note any recommendations.
549,Drier Spring,"Coconino NF, Mogollon Rim RD",34.48347,-111.2743,2206,rheocrene,hillslope,-1832500695,8/10/2012,"Kyle Paffett, Vera Markgraf, Abe Springer, and Gerald Higa",Stevens et al. Level 2,3,773,0,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,3,4,4,2,4,2,3,3,3,4,3.4,3,3,,1,4,1,4,0,3,0,5,1,4,0,5,0,5,0,5,0,5,9,9,9,9,9,9,9,9,0,5,0,4,6,1,3,3,6,1,6,1,6,1,4,3,3,4,,,4.25,2.57143,1,2,6,6,1,2,6,2,1,2,1,3,1,2,0,1,0,2,1.88889,2.44444,1.1,4,4,5,We recommend closing the road that runs near the spring site.
1082,Schneider Spring,"Coconino NF, Mogollon Rim RD",34.48633,-111.13026,2231,hillslope,,1770682166,8/11/2012,"Kyle Paffett Vera Markgraf, and Gerald Higa",Stevens et al. Level 2,3,774,0,5,2,1,2,5,2,1,2,5,2,0,2,2.83333,2,0,1,4,2,4,2,4,3,4,3,4,2.2,4,3,,2,2,2,4,4,2,2,4,2.6,3,4,2,2,4,1,4,1,4,5,2,2,3,4,2,2,4,2.625,3.125,5,3,4,3,5,2,6,1,6,1,4,3,5,2,3,4,,,4.75,2.71429,2,1,6,6,1,2,5,3,1,2,1,3,1,2,0,1,2,2,2.11111,2.44444,2.56458,3.03125,0,1,Thin the surrounding forest.
596,Patton Spring,"Coconino NF, Mogollon Rim RD",34.44723,-111.36541,2293,rheocrene,helocrene,871463039,8/9/2012,Kyle Paffett and Gerald Higa,Stevens et al. Level 2,3,775,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,5,2,5,2,2,2,5,2,4.4,2,5,,1,3,1,4,2,4,1,4,2,3.75,1,4,1,5,1,5,1,5,2,4,1,5,2,4,1,5,1.25,4.625,0,5,6,1,5,1,6,1,6,1,1,4,6,1,5,2,,,4.375,2.28571,2,2,6,6,2,2,5,3,1,2,1,3,2,2,0,1,2,2,2.33333,2.55556,1.9125,3.84375,0,1,Surveyors did not note any recommendations. 
1032,McFarland Spring,"Coconino NF, Mogollon Rim RD",34.47702,-111.19601,2235,hillslope,rheocrene,-126597036,8/8/2012,Kyle Paffett and Vera Markgraf,Stevens et al. Level 2,5,776,0,6,1,2,1,6,1,4,1,5,1,4,1,4.5,1,0,6,1,6,1,6,1,4,1,5,1,5.4,1,4,,3,1,5,1,4,2,3,4,3.8,2,3,2,2,3,2,3,2,4,5,2,5,2,5,2,3,3,3.375,2.625,6,1,6,1,4,3,6,1,6,1,4,3,5,3,6,1,,,5.375,2,3,1,6,6,2,2,5,3,1,2,1,3,2,2,0,1,2,2,2.44444,2.44444,4.26875,1.65625,0,1,Surveyors did not note any recommendations. 
993,Houston Draw Spring,"Coconino NF, Mogollon Rim RD",34.46801,-111.19666,2264,hillslope,helocrene,-1771295035,8/8/2012,"Kyle Paffett, Vera Markgraf, and Gerald Higa",Stevens et al. Level 2,5,777,0,6,1,2,1,6,1,4,1,5,1,4,1,4.5,1,0,6,1,6,1,6,1,3,1,5,1,5.2,1,3,,3,1,5,1,3,2,3,4,3.8,2,4,2,3,2,2,3,1,3,5,2,5,3,5,2,2,3,3.375,2.5,6,1,6,1,5,3,6,1,6,1,4,3,5,3,6,1,,,5.5,2,2,2,6,6,2,2,5,3,1,2,1,3,2,2,0,1,0,2,2.11111,2.55556,4.21875,1.625,0,1,Surveyors did not note any recommendations.
713,Wildcat Spring,"Coconino NF, Mogollon Rim RD",34.46065,-111.4067,2192,hillslope,,1366648089,8/7/2012,Kyle Paffett and Gerald Higa,Stevens et al. Level 2,2,780,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,4,1,4,1,4,1,4,5,2,1.8,3.6,5,,0,4,0,4,0,4,0,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,3,4,2,6,1,6,1,6,1,5,2,5,2,,,4.125,2.28571,2,2,6,6,2,1,3,2,1,2,0,5,1,2,0,3,1,2,1.77778,2.77778,0.7,3.65,0,1,Remove concrete stock tank and return spring to natural sphere of discharge.
1100,Sycamore Canyon middle north Unnamed ,"Coconino NF, Red Rock RD",34.46318,-111.71458,1132,rheocrene,,-1307372305,8/6/2012,Kyle Paffett and Gerald Higa,Stevens et al. Level 2,5,782,0,5,2,9,2,5,2,3,2,5,2,4,2,4.4,2,0,6,1,5,1,5,1,1,1,4,3,4.2,1.4,4,,2,1,3,2,5,2,2,3,3.2,2,2,2,1,2,0,3,1,2,6,1,4,3,3,2,2,3,2.375,2.25,3,3,6,1,1,5,6,1,6,1,6,1,1,5,4,2,,,4.125,2.71429,1,2,6,6,1,2,5,3,1,2,1,3,2,2,0,1,2,2,2.11111,2.55556,3.54375,1.9125,1,1,Close off camping spots that reside near the spring source.
940,Cottonwood Basin Unnamed,"Coconino NF, Red Rock RD",34.47866,-111.76912,938,rheocrene,,1122592772,8/5/2012,"Kyle Paffett, Gerald Higa, and Vera Markgraf",Stevens et al. Level 2,6,783,0,5,1,1,1,5,1,4,2,5,1,6,1,4.33333,1.16667,0,6,1,6,1,3,3,5,1,5,1,5,1.4,4,,2,1,5,2,4,2,3,4,3.8,2.25,3,2,3,3,3,2,3,3,4,2,5,3,4,2,3,3,3.5,2.5,5,2,6,1,4,2,6,1,6,1,6,1,6,1,5,1,,,5.5,1.42857,2,2,6,6,2,2,5,2,2,2,0,5,1,2,0,3,1,2,2.11111,2.88889,4.15833,1.82917,0,1,Fencing should be installed to restrict domestic cattle.
775,Kaufman Spring,"Kaibab NF, Williams RD",35.30588,-111.98786,2229,hillslope,,1186733522,6/2/2012,"Kyle Paffett, Vera Markgraf",Stevens et al. Level 2,3,785,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,4,2,4,2,5,2,4,1,3,3,4,2,5,,0,4,1,4,2,4,3,3,2.2,3.75,1,3,1,3,0,3,0,3,2,4,5,2,2,4,2,4,1.625,3.25,0,2,6,1,4,2,6,1,6,1,3,2,4,2,5,3,,,4.25,2,3,2,6,6,2,3,5,2,1,4,0,3,1,2,0,3,2,2,2.22222,3,1.95625,3,0,1,Surveyors did not note any recommendations.
770,Spitz Spring Lower,"Kaibab NF, Williams RD",35.26033,-111.9751,2136,helocrene,anthropogenic,1281092075,6/2/2012,Kyle Paffett and Vera Markgraf,Stevens et al. Level 2,5,786,0,5,2,1,2,5,2,5,2,5,2,4,2,4.16667,2,0,3,2,4,2,5,2,2,2,3,3,3.4,2.2,3,,3,2,4,2,3,2,4,3,3.4,2.25,2,3,2,3,2,3,3,2,1,3,4,2,2,1,3,1,2.375,2.25,4,3,3,2,2,1,6,1,6,1,3,2,4,2,3,3,,,3.875,2.14286,3,2,6,6,3,2,4,3,2,3,1,3,3,3,1,3,2,2,2.77778,3,3.33542,2.175,0,1,Remove concrete stock tank and other concrete structures at the spring site.
771,Spitz Spring upper,"Kaibab NF, Williams RD",35.26135,-111.97436,2130,anthropogenic,,605110352,6/2/2012,Kyle Paffett and Vera Markgraf,Stevens et al. Level 2,5,787,0,5,2,1,2,5,2,5,2,5,2,4,2,4.16667,2,0,3,2,4,2,5,2,2,2,3,3,3.4,2.2,3,,3,2,4,2,3,2,4,3,3.4,2.25,2,3,2,3,2,3,3,2,1,3,4,2,2,1,3,2,2.375,2.375,4,3,3,2,2,1,6,1,6,1,3,2,4,2,3,3,,,3.875,2.14286,3,2,6,6,3,2,4,3,2,3,1,3,3,2,1,3,2,2,2.77778,2.88889,3.33542,2.20625,0,1,Remove concrete stock tanks from the site.
781,Stewart Spring,"Kaibab NF, Williams RD",35.10677,-112.15804,2129,hillslope,rheocrene,1523592721,6/3/2012,"Kyle Paffett, Vera Markgraf, Monica Swihart",Stevens et al. Level 2,5,788,0,6,1,1,1,6,1,4,1,6,1,4,1,4.5,1,0,6,1,6,1,6,1,6,1,5,2,5.8,1.2,5,,6,1,6,1,6,1,4,3,5.4,1.5,6,1,5,1,6,1,4,2,4,2,4,2,5,1,5,1,4.875,1.375,6,1,6,1,6,1,5,1,6,1,5,1,6,1,6,2,,,5.75,1.28571,1,2,6,6,2,3,5,2,1,3,0,3,3,2,0,3,1,2,2.11111,2.88889,5.14375,1.26875,0,1,Surveyors did not note any recommendations. 
330,Crane Lake,"Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,limnocrene,,550526073,6/16/2012,Kyle Paffett,Stevens et al. Level 2,6,802,0,4,3,9,2,5,2,2,3,4,4,3,4,3.6,3,0,4,2,9,9,3,4,3,3,3,4,3.25,3.25,5,2,3,3,4,2,4,2,3,3,3.8,2.4,4,3,5,2,4,3,4,4,3,5,2,4,5,3,3,4,3.75,3.5,4,3,6,1,4,3,3,3,6,1,3,3,4,2,4,3,,,4.25,2.71429,4,2,6,,3,3,4,2,2,2,5,3,4,3,5,2,6,1,4.33333,2.25,3.6,3.0375,2,2,The wooden fence surrounding the spring site should be fixed to keep out cows and bison.
952,Dorens Defeat Spring,"Coconino NF, Red Rock RD",34.43473,-111.67352,1315,rheocrene,limnocrene,2029320006,11/18/2012,Kyle Paffett,Stevens et al. Level 2,4,804,0,5,1,1,1,5,1,3,1,5,1,3,1,3.66667,1,0,5,1,5,1,4,1,3,1,4,1,4.2,1,4,,2,1,3,1,2,3,3,3,3,2,1,3,2,3,1,3,0,3,4,2,4,2,3,2,3,2,2.25,2.5,4,2,6,1,6,1,6,1,6,1,4,2,6,1,4,3,,,5.25,1.71429,3,2,6,6,2,2,5,2,1,2,0,5,1,2,0,3,1,2,2.11111,2.88889,3.27917,1.625,0,1,Surveyors did not note any management recommendations.
1064,Quail Spring,"Coconino NF, Red Rock RD",34.37299,-111.69111,1196,hillslope,,1287150415,11/18/2012,Kyle Paffett and Kyle Chardi,Stevens et al. Level 2,4,805,0,5,2,1,2,1,2,1,2,5,2,1,2,2.33333,2,0,1,3,2,3,3,3,2,3,4,2,2.4,2.8,5,,1,3,1,3,0,4,1,4,1.6,3.5,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,3,3,0,3,6,1,6,1,6,1,4,3,6,1,6,1,,,4.625,2,2,2,6,6,2,2,5,2,1,2,0,5,1,2,0,3,1,2,2,2.88889,1.58333,3.575,0,1,"Remove the stock tank and pipe, and fence cattle out of spring site."
1022,Lockwood Spring,"Coconino NF, Peaks RD",35.04672,-111.86354,2103,hillslope,anthropogenic,-1489959196,8/4/2012,"Kyle Paffett, Vera Markgraf, and Quintin Van Dyke",Stevens et al. Level 2,5,806,0,5,1,1,1,5,1,3,2,5,1,0,2,3.16667,1.33333,0,1,3,3,3,3,3,2,4,4,2,2.6,3,5,,2,2,2,3,3,2,2,3,2.8,2.5,3,2,2,3,2,3,1,3,4,2,4,3,3,2,2,3,2.625,2.625,5,1,2,3,2,3,6,1,6,1,4,3,4,2,5,2,,,4.25,2.28571,3,1,6,6,3,2,4,3,1,2,1,3,2,2,0,1,5,2,2.77778,2.44444,2.79792,2.36458,0,1,"We recommend removing the spring box and stock tank, and closing the road."
941,Cottonwood Spring,"Coconino NF, Red Rock RD",34.48753,-111.77072,951,rheocrene,,-1261498859,8/5/2012,"Kyle Paffett, Gerald Higa, and Vera Markgraf",Stevens et al. Level 2,2,807,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,2,5,1,3,3,4,2,3,3,4,2.2,3,,1,3,1,3,0,3,1,3,1.2,3,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,3,6,1,5,1,6,1,6,1,5,2,5,1,3,3,,,4.5,1.85714,2,2,6,6,1,2,5,2,1,2,1,5,1,2,0,3,0,2,1.88889,2.88889,1.3,3.55,0,1,Surveyors did not note any management recommendations.
1035,Mesquite Spring,"Coconino NF, Red Rock RD",34.48673,-111.76822,951,rheocrene,,-1421060174,8/5/2012,"Kyle Paffett, Vera Markgraf, and Gerald Higa",Stevens et al. Level 2,2,808,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,2,5,1,3,3,4,2,3,3,4,2.2,3,,1,3,1,3,0,3,1,3,1.2,3,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,3,6,1,5,1,6,1,6,1,5,2,5,1,3,3,,,4.5,1.85714,3,2,6,6,2,2,5,2,1,2,1,5,2,2,0,3,1,2,2.33333,2.88889,1.3,3.55,0,1,Surveyors did not note any recommendations. 
1033,Meadow Spring,"Coconino NF, Mogollon Rim RD",34.42899,-111.15686,2247,helocrene,hillslope,1371834343,6/19/2013,"Kyle Paffett, Spencer Harris, and Tom Runyon",Stevens et al. Level 2,6,828,0,5,2,9,2,5,2,4,2,5,2,4,2,4.6,2,0,4,2,4,2,4,2,2,2,3,4,3.4,2.4,3,,2,2,3,2,3,3,3,4,2.8,2.75,3,3,2,4,0,3,0,3,2,3,1,3,4,3,2,3,1.75,3.125,4,3,4,2,3,2,6,1,6,1,2,3,4,3,4,4,,,4.125,2.71429,2,2,6,6,1,2,5,3,1,2,1,3,2,2,0,1,0,2,2,2.55556,3.1375,2.56875,1,1,We recommend fencing the source off from elk. 
1006,Kelly Seep,"Coconino NF, Mormon Lake RD",35.06089,-111.68892,2024,helocrene,,1372265002,6/17/2013,Kyle Paffett and Spencer Harris,Stevens et al. Level 2,6,831,0,3,4,9,4,3,4,2,4,3,4,3,4,2.8,4,0,3,3,5,3,4,3,2,3,3,4,3.4,3.2,5,,2,3,3,3,3,4,3,4,3.2,3.5,3,3,3,3,0,3,0,3,3,3,4,3,4,3,3,3,2.5,3,3,4,5,2,3,4,6,1,6,1,3,4,5,2,4,4,,,4.375,3.14286,3,1,6,6,3,2,5,2,1,2,1,3,2,2,0,1,2,2,2.55556,2.33333,2.975,3.425,1,1,"We recommend fencing the source off from elk. There is poor water quality, perhaps due to proximity to I-17 and road salt."
1137,Winter Cabin Spring,"Coconino NF, Red Rock RD",34.68481,-111.76958,1104,rheocrene,,-564726680,6/17/2013,Kyle Paffett and Spencer Harris,Stevens et al. Level 2,2,832,0,5,2,1,2,3,2,1,2,5,2,2,2,2.83333,2,0,4,2,4,2,4,2,1,2,2,3,3,2.2,5,,1,3,1,3,0,3,1,3,1.6,3,0,4,0,4,0,4,0,4,6,2,3,4,0,4,0,4,1.125,3.75,2,3,4,2,4,2,6,1,6,1,6,1,4,3,4,3,,,4.5,2.28571,2,1,6,6,3,2,5,3,1,2,1,3,2,2,0,1,2,2,2.44444,2.44444,2.13958,2.7375,0,1,Surveyors did not note any recommendations. 
906,Billy Back Spring,"Coconino NF, Mormon Lake RD",35.01722,-111.34902,2158,hillslope,rheocrene,1188980297,6/14/2013,"Kyle Paffett, Krista Sparks, and Spencer Harris",Stevens et al. Level 2,6,833,0,5,2,1,2,5,2,1,2,5,2,3,2,3.33333,2,0,5,1,5,1,5,1,2,1,3,3,4,1.4,5,,2,2,2,2,3,2,2,3,2.6,2.25,3,2,2,3,1,3,0,3,1,2,2,2,4,2,2,3,1.875,2.5,5,2,6,1,6,1,6,1,6,1,3,3,4,3,4,3,,,5,2.14286,2,2,6,6,3,2,6,2,2,2,1,3,2,2,0,1,5,2,3,2.44444,2.95208,2.0375,0,1,
1140,Yellow Jacket Spring Elliott Canyon,"Coconino NF, Mormon Lake RD",35.02525,-111.36373,2153,hillslope,,1372279618,6/14/2013,"Kyle Paffett, Krista Sparks, and Spencer Harris",Stevens et al. Level 2,7,834,0,5,2,9,2,5,2,1,2,5,2,2,3,3.6,2.16667,0,3,2,4,2,3,2,3,2,3,4,3.2,2.4,5,,2,2,2,2,2,3,2,3,2.6,2.5,1,3,1,3,1,3,0,3,5,2,5,2,3,2,2,2,2.25,2.5,4,2,3,2,6,1,6,1,6,1,4,3,4,3,3,4,,,4.5,2.42857,1,2,6,6,1,2,5,3,1,2,1,3,2,2,0,1,2,2,2.11111,2.55556,2.9125,2.39167,1,1,We recommend removing the spring box. 
892,Ashurst Spring,"Coconino NF, Mormon Lake RD",35.02513,-111.38097,2149,hillslope,,1372694922,6/14/2013,"Kyle Paffett, Krista Sparks, and Spencer Harris",Stevens et al. Level 2,7,838,0,5,2,2,2,5,2,4,2,5,2,3,2,4,2,0,4,2,4,2,3,2,2,2,3,4,3.4,2.4,5,,2,2,3,2,3,2,3,4,3.4,2.5,4,3,2,4,2,3,0,3,2,3,2,3,4,2,3,3,2.375,3,4,3,4,2,5,2,6,1,6,1,2,3,5,2,4,3,,,4.5,2.42857,2,2,6,6,3,2,6,2,2,2,1,3,3,2,0,1,2,2,2.77778,2.44444,3.29375,2.475,0,1,The spring source should be fenced off from cattle and elk.
976,Free Spring,"Coconino NF, Mormon Lake RD",34.86942,-111.5004,2209,helocrene,,-856583480,6/13/2013,"Kyle Paffett, Krista Sparks, and Spencer Harris",Stevens et al. Level 2,5,840,0,5,2,0,2,5,2,3,2,5,2,3,2,3.5,2,0,1,3,0,3,0,3,1,3,3,3,1,3,0,,2,3,1,3,3,3,3,4,1.8,3.25,3,3,2,3,0,3,0,3,5,2,5,2,4,3,3,3,2.75,2.75,4,2,2,3,4,2,6,1,6,1,3,3,4,3,4,3,,,4.125,2.57143,3,2,6,6,2,2,6,2,1,2,1,3,2,2,0,1,2,2,2.55556,2.44444,2.2625,2.75,0,1,Surveyors did not note any recommendations.
1044,Mud Spring Mormon Mountain,"Coconino NF, Mormon Lake RD",34.95943,-111.54402,2330,limnocrene,,-631866071,6/13/2013,"Kyle Paffett, Krista Sparks, and Spencer Harris",Stevens et al. Level 2,5,841,0,5,3,1,3,5,3,1,3,5,2,3,3,3.33333,2.83333,0,1,3,2,3,3,3,1,3,2,3,1.8,3,5,,2,3,1,3,3,3,2,4,2.6,3.25,2,3,2,3,0,3,0,3,3,3,2,3,2,4,1,4,1.5,3.25,2,3,2,3,2,3,2,3,6,1,2,3,4,3,4,3,,,3,3.14286,3,2,6,6,3,2,4,3,1,2,1,3,1,2,0,1,5,2,2.66667,2.55556,2.30833,3.08333,0,1,Surveyors did not note any recommendations. 
1067,Railroad Spring,"Coconino NF, Mormon Lake RD",34.87473,-111.45102,2202,hillslope,,1390859830,6/12/2013,"Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf",Stevens et al. Level 2,6,842,0,5,2,2,2,5,2,4,2,5,2,4,2,4.16667,2,0,1,3,3,3,2,3,2,3,4,3,2.4,3,5,,3,3,3,3,6,2,3,4,4,3,3,3,3,3,0,4,2,4,0,2,2,4,4,2,4,2,2.25,3,4,2,2,3,3,3,6,1,6,1,4,3,5,3,4,4,,,4.25,2.85714,3,1,6,6,2,1,5,3,2,2,1,3,3,2,0,1,5,2,3,2.33333,3.20417,2.75,0,1,Remove the spring boxes and forest road. This site has high potential for restoration. 
1122,Wallace Spring,"Coconino NF, Mormon Lake RD",34.92473,-111.49152,2229,helocrene,,1372701556,6/28/2013,"Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf",Stevens et al. Level 2,4,845,0,5,3,1,3,5,3,3,3,5,3,0,4,3.16667,3.16667,0,0,3,2,3,2,3,0,4,3,4,1.4,3.4,5,,1,3,0,4,0,4,0,4,1.2,3.75,0,4,0,4,0,4,0,4,6,1,5,3,0,4,0,4,1.375,3.5,5,2,0,4,4,3,6,1,6,1,6,1,6,1,3,4,,,4.5,2.42857,2,1,6,6,2,2,5,3,1,2,1,3,1,2,0,1,5,2,2.55556,2.44444,1.78542,3.45417,0,1,Return the flow to its natural sphere of discharge.
