"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","FHI_flowRegulation","FHI_humanImpactRiskScore","meanConditionScore"
"110",952,"Dorens Defeat Spring","Coconino NF, Red Rock RD",34.43473,-111.67352,1315,"rheocrene","limnocrene",2029320006,"11/18/2012","Kyle Paffett","Stevens et al. Level 2",4,804,6,1.71429,3.27917
"111",1064,"Quail Spring","Coconino NF, Red Rock RD",34.37299,-111.69111,1196,"hillslope",NA,1287150415,"11/18/2012","Kyle Paffett and Kyle Chardi","Stevens et al. Level 2",4,805,0,2,1.58333
"112",1022,"Lockwood Spring","Coconino NF, Peaks RD",35.04672,-111.86354,2103,"hillslope","anthropogenic",-1489959196,"8/4/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",5,806,2,2.28571,2.79792
"113",941,"Cottonwood Spring","Coconino NF, Red Rock RD",34.48753,-111.77072,951,"rheocrene",NA,-1261498859,"8/5/2012","Kyle Paffett, Gerald Higa, and Vera Markgraf","Stevens et al. Level 2",2,807,6,1.85714,1.3
"114",1035,"Mesquite Spring","Coconino NF, Red Rock RD",34.48673,-111.76822,951,"rheocrene",NA,-1421060174,"8/5/2012","Kyle Paffett, Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",2,808,6,1.85714,1.3
"115",1033,"Meadow Spring","Coconino NF, Mogollon Rim RD",34.42899,-111.15686,2247,"helocrene","hillslope",1371834343,"6/19/2013","Kyle Paffett, Spencer Harris, and Tom Runyon","Stevens et al. Level 2",6,828,4,2.71429,3.1375
"116",1006,"Kelly Seep","Coconino NF, Mormon Lake RD",35.06089,-111.68892,2024,"helocrene",NA,1372265002,"6/17/2013","Kyle Paffett and Spencer Harris","Stevens et al. Level 2",6,831,5,3.14286,2.975
"117",1137,"Winter Cabin Spring","Coconino NF, Red Rock RD",34.68481,-111.76958,1104,"rheocrene",NA,-564726680,"6/17/2013","Kyle Paffett and Spencer Harris","Stevens et al. Level 2",2,832,4,2.28571,2.13958
"118",906,"Billy Back Spring","Coconino NF, Mormon Lake RD",35.01722,-111.34902,2158,"hillslope","rheocrene",1188980297,"6/14/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,833,6,2.14286,2.95208
"119",1140,"Yellow Jacket Spring Elliott Canyon","Coconino NF, Mormon Lake RD",35.02525,-111.36373,2153,"hillslope",NA,1372279618,"6/14/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",7,834,3,2.42857,2.9125
"120",892,"Ashurst Spring","Coconino NF, Mormon Lake RD",35.02513,-111.38097,2149,"hillslope",NA,1372694922,"6/14/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",7,838,4,2.42857,3.29375
"121",976,"Free Spring","Coconino NF, Mormon Lake RD",34.86942,-111.5004,2209,"helocrene",NA,-856583480,"6/13/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",5,840,2,2.57143,2.2625
"122",1044,"Mud Spring Mormon Mountain","Coconino NF, Mormon Lake RD",34.95943,-111.54402,2330,"limnocrene",NA,-631866071,"6/13/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",5,841,2,3.14286,2.30833
"123",1067,"Railroad Spring","Coconino NF, Mormon Lake RD",34.87473,-111.45102,2202,"hillslope",NA,1390859830,"6/12/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,842,2,2.85714,3.20417
"124",1122,"Wallace Spring","Coconino NF, Mormon Lake RD",34.92473,-111.49152,2229,"helocrene",NA,1372701556,"6/28/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",4,845,0,2.42857,1.78542
"125",1023,"Lockwood Spring","Coconino NF, Mormon Lake RD",34.97443,-111.49292,2264,"hillslope",NA,1887015781,"6/28/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",2,846,1,2.85714,1.29792
"126",749,"Holloway Spring","Kaibab NF, Williams RD",35.11202,-112.08806,2100,"helocrene",NA,-1609849150,"6/27/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,848,1,2.42857,2.8625
"127",1002,"Jack Smith Spring","Coconino NF, Peaks RD",35.34522,-111.64766,2929,"helocrene",NA,-675034504,"6/6/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",2,849,0,4,0.35
"128",1347,"Dry Lake Hills Pond","Coconino NF, Peaks RD",35.26775,-111.63409,2499,"limnocrene",NA,-547580570,"6/7/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",4,851,2,2.85714,2.75625
"129",766,"Many Snakes Spring","Kaibab NF, Williams RD",35.10909,-112.23399,1990,"limnocrene","rheocrene",1372705627,"6/27/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",4,852,6,2,3.64375
"130",804,"Orion Spring","Coconino NF, Peaks RD",35.29016,-111.63722,2498,"hillslope","rheocrene",1291839215,"6/7/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",2,853,1,3.57143,1.00833
"131",889,"Alto Spring","Coconino NF, Peaks RD",35.37753,-111.62062,2436,"hillslope",NA,-1019850236,"6/10/2013","Kyle Paffett and Spencer Harris","Stevens et al. Level 2",2,855,3,2.71429,1.63333
"132",1105,"Taylor Spring","Coconino NF, Mogollon Rim RD",34.4635,-111.17946,2270,"hillslope","rheocrene",-136317695,"6/26/2013","Kyle Paffett, Spencer Harris, Tom Bean, Krista Sparks and Vera Markgraf (veg. survey 7/11/13)","Stevens et al. Level 2",8,856,4,2.71429,3.2375
"133",1003,"Jack Smith Spring Number Two","Coconino NF, Peaks RD",35.35751,-111.59963,2389,"rheocrene",NA,-1959001419,"6/10/2013","Kyle Paffett and Spencer Harris","Stevens et al. Level 2",4,857,6,2.14286,2.03542
"134",966,"Fleishman Spring","Coconino NF, Mogollon Rim RD",34.47323,-111.17977,2234,"hillslope","hanging garden",-1011026130,"6/26/2013","Kyle Paffett, Spencer Harris, Tom Bean, Krista Sparks, and Vera Markgraf (Vegetation survey 7/11/2013)","Stevens et al. Level 2",6,858,6,2.42857,3.5375
"135",1014,"Leopard Frog Spring","Coconino NF, Mogollon Rim RD",34.45205,-111.15308,2273,"hillslope",NA,608820203,"6/4/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,860,5,2.85714,3.59167
"136",1116,"Twin Tanks","Coconino NF, Mogollon Rim RD",34.43588,-111.17643,2347,"hillslope",NA,-2013827055,"6/11/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",7,862,4,2.57143,3.06042
"137",939,"Cornlily Spring","Coconino NF, Mogollon Rim RD",34.43843,-111.17411,2330,"hillslope","rheocrene",-1536296706,"6/11/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",7,864,4,2.42857,3.13125
"138",955,"Double Springs (East)","Coconino NF, Mormon Lake RD",34.94106,-111.49433,2206,"hillslope",NA,-389710051,"6/25/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,865,4,2.85714,2.9125
"139",887,"Allan Lake East","Coconino NF, Mormon Lake RD",34.8327,-111.43991,2274,"helocrene","limnocrene",2122905767,"6/12/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,866,2,2.71429,3.35625
"140",1121,"Van Deren Spring","Coconino NF, Mormon Lake RD",34.83563,-111.44602,2282,"helocrene",NA,1949941596,"6/12/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",5,867,1,3.14286,3.08125
"141",954,"Double Springs (West)","Coconino NF, Mormon Lake RD",34.94125,-111.49434,2190,"hillslope",NA,1361798682,"6/25/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",5,868,4,2.85714,2.6375
"142",946,"Dairy Spring","Coconino NF, Mormon Lake RD",34.95378,-111.48179,2166,"hillslope","anthropogenic",-958640493,"6/25/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",6,869,2,3,3.06458
"143",964,"Fisher Point Unnamed","Coconino NF, Peaks RD",35.16261,-111.58643,2124,NA,NA,1372872154,"6/24/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",1,871,1,2.85714,1.04792
"144",962,"End of Trail","Coconino NF, Mormon Lake RD",35.13293,-111.4573,2039,"rheocrene",NA,-645226600,"6/20/2013","Kyle Paffett and Spencer Harris","Stevens et al. Level 2",2,873,1,2.71429,0.99792
"145",902,"Big Clearing","Coconino NF, Mormon Lake RD",35.12075,-111.4172,1977,"rheocrene",NA,-1228890695,"6/20/2013","Kyle Paffett and Spencer Harris","Stevens et al. Level 2",2,874,1,2.85714,1.02917
"146",884,"58 Tank","Coconino NF, Mogollon Rim RD",34.73161,-111.35477,2175,"rheocrene",NA,1373907975,"7/10/2013","Krista Sparks, Kyle Paffett, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",4,875,1,2.14286,1.69167
"147",963,"Fain Spring","Coconino NF, Mormon Lake RD",34.81879,-111.52392,2159,"helocrene",NA,1374079523,"6/21/2012","Kyle Paffett, Vera Markgraf, and Quintin Van Dyke","Stevens et al. Level 2",6,878,4,2.28571,3.95417
"148",576,"Black Bear Spring","Coconino NF, Mogollon Rim RD",34.44736,-111.16426,2278,"hillslope","helocrene",-655558104,"6/19/2013","Kyle Paffett, Krista Sparks, Spencer Harris, Vera Markgraf, and Tom Runyon","Stevens et al. Level 2",7,879,4,2,3.78958
"149",975,"Fred Haught Spring","Coconino NF, Mogollon Rim RD",34.4879,-111.2244,2127,"limnocrene","rheocrene",1015741023,"7/12/2013","Kyle Paffett, Krista Sparks, Vera Markgraf, and Abe Springer","Stevens et al. Level 2",5,881,5,1.85714,3.65208
"150",1150,"Willow Spring","Coconino NF, Mogollon Rim RD",34.46698,-111.27399,2196,"hanging garden",NA,2115984564,"7/12/2013","Kyle Paffett, Krista Sparks, Vera Markgraf, and Abe Springer","Stevens et al. Level 2",3,882,6,1.71429,2.79375
"151",891,"Ashurst Run Unnamed","Coconino NF, Mormon Lake RD",34.94183,-111.4219,2210,"limnocrene",NA,1376943028,"7/23/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,893,1,3.71429,2.73542
"152",1060,"Phroney Spring","Coconino NF, Red Rock RD",34.44083,-111.69431,1243,"rheocrene",NA,1376950578,"7/18/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",3,895,2,2.57143,2.23542
"153",1344,"Little 44 Spring","Coconino NF, Mogollon Rim RD",34.48421,-111.3715,2179,"hillslope",NA,1377540356,"7/22/2013","Kyle Paffett, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",5,896,6,2.57143,3.14792
"154",690,"Bear Spring lower","Kaibab NF, North Kaibab RD",36.3694,-112.175,2658,"helocrene",NA,1378748943,"8/6/2013","Krista Sparks, Spencer Harris, and Kyle Paffett","Stevens et al. Level 2",7,919,5,2.57143,3.42292
"155",691,"South Big Spring Tank","Kaibab NF, North Kaibab RD",36.35354,-112.18317,2607,"limnocrene","anthropogenic",1205943972,"8/6/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",4,921,1,2.71429,2.42917
"156",814,"Slide Spring north","Kaibab NF, North Kaibab RD",36.66369,-112.56587,1530,"rheocrene","limnocrene",1977572053,"8/3/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",5,922,6,1.28571,3.67083
"157",894,"Babes Hole Spring","Coconino NF, Peaks RD",35.0727,-111.93971,1807,"rheocrene",NA,-661032693,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,925,3,2.14286,3.79375
"158",1007,"Kelsey Spring","Coconino NF, Peaks RD",35.07562,-111.93514,1936,"rheocrene","helocrene",977846512,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,926,2,2.14286,3.56667
"159",979,"Geronimo Spring","Coconino NF, Peaks RD",35.07751,-111.94701,1628,"hillslope","rheocrene",673286705,"8/8/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",5,927,4,2,3.84375
"160",695,"Lower Two Springs 1","Kaibab NF, North Kaibab RD",36.36721,-112.30742,2316,"rheocrene",NA,-1867292676,"8/6/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",6,930,6,1.42857,3.82292
"161",583,"Mangum 4 Springs","Kaibab NF, North Kaibab RD",36.62289,-112.34109,2183,"gushet",NA,-1429977267,"8/4/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",5,931,4,2.42857,3.91458
"162",634,"Mangum 2 Springs","Kaibab NF, North Kaibab RD",36.62328,-112.34172,2167,"hanging garden","mound-form",1859106442,"8/4/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",7,933,6,1.85714,3.56042
"163",606,"Willow Spring","Kaibab NF, North Kaibab RD",36.71097,-112.52975,1462,"rheocrene",NA,-1340189326,"8/2/2013","Krista Sparks, Kyle Paffett, and Spencer Harris","Stevens et al. Level 2",5,936,5,1.28571,3.9125
"164",1096,"Strahan Spring","Coconino NF, Peaks RD",35.08209,-111.92415,1947,"hillslope","rheocrene",-2010360320,"8/26/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",6,946,6,1.14286,4.13125
"165",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",1381341749,"8/30/2013","Glenn Rink, Jeri Ledbetter, Larry Stevens, and Marguerite Hendrie","Stevens et al. Level 2",9,970,3,2.875,4.30769
"166",787,"Lower Jumpup Spring below","Kaibab NF, North Kaibab RD",36.53059,-112.58656,1195,"limnocrene","rheocrene",1065999650,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, and Vaden Aldridge","Stevens et al. Level 2",4,973,6,2.14286,3.09375
"167",794,"Kwagunt Hollow Zen Spring","Kaibab NF, North Kaibab RD",36.50922,-112.575,1128,"hanging garden","rheocrene",644377339,"10/4/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,974,6,2,4.41875
"168",798,"Cottonwood Cienega","Kaibab NF, North Kaibab RD",36.52286,-112.53591,1346,"helocrene","rheocrene",-1847405151,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,976,6,2.14286,4.59167
"169",455,"Jumpup Lower Spring","Kaibab NF, North Kaibab RD",36.53189,-112.58763,1212,"rheocrene",NA,1947087694,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,977,6,2.14286,3.86875
"170",665,"Cottonwood Spring Lower Spring","Kaibab NF, North Kaibab RD",36.521,-112.53052,1403,"rheocrene",NA,-166258505,"10/5/2013","Krista Sparks, Spencer Harris, Graham Schindel, Vaden Aldridge","Stevens et al. Level 2",4,978,6,2.14286,4.50833
"171",818,"Lower Forgotten Canyon Spring","Kaibab NF, North Kaibab RD",36.49048,-112.57429,1187,"hanging garden","rheocrene",-586956244,"10/4/2013","Krista Sparks, Spencer Harris, Graham Schindel, and Vaden Aldridge","Stevens et al. Level 2",4,979,6,2.14286,4.19583
"172",936,"Big Spring","Coconino NF, Red Rock RD",34.54136,-111.62293,1280,"hillslope",NA,-1854014925,"9/21/2013","Krista Sparks, and Spencer Harris","Stevens et al. Level 2",5,982,5,1.42857,3.89792
"173",734,"Indian Spring","Kaibab NF, Williams RD",35.03833,-112.20604,1782,"rheocrene",NA,-1884369672,"8/30/2013","Krista Sparks and Vera Markgraf","Stevens et al. Level 2",3,983,6,1.42857,3.87708
"174",1099,"Sycamore Canyon fork Unnamed","Coconino NF, Red Rock RD",34.45863,-111.71901,1095,"rheocrene",NA,-1277110375,"9/6/2013","Krista Sparks and Graham Schindel","Stevens et al. Level 2",5,984,6,2.14286,3.63958
"175",1103,"Sycamore Spring Hackberry Mountain","Coconino NF, Red Rock RD",34.48283,-111.69512,1243,"hillslope",NA,1232690150,"9/6/2013","Krista Sparks and Graham Schindel","Stevens et al. Level 2",3,985,6,2,2.1625
"176",1298,"Pine Flat Spring","Coconino NF, Red Rock RD",35.0111,-111.73723,1695,"rheocrene","hillslope",-728335563,"7/19/2013","Krista Sparks, Spencer Harris, and Quintin Van Dyk","Stevens et al. Level 2",6,988,2,3.57143,3.12292
"177",896,"Banfield Spring","Coconino NF, Mogollon Rim RD",34.65101,-111.45337,2070,"helocrene",NA,981141611,"7/10/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,990,2,2.85714,3.4
"178",933,"Clark Well","Coconino NF, Mormon Lake RD",35.06712,-111.57964,2108,"helocrene","anthropogenic",351313104,"7/17/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",4,991,1,3,2.72917
"179",967,"Fortyfour Spring","Coconino NF, Mogollon Rim RD",34.48503,-111.37181,2163,"rheocrene",NA,-13733743,"7/22/2013","Kyle Paffett, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",5,992,3,3.28571,3.24583
"180",147,"Summer Spring","Coconino NF, Red Rock RD",34.88062,-112.06635,1099,"hillslope",NA,-1551102082,"7/26/2013","Kyle Paffett, Krista Sparks, and Vera Markgraf","Stevens et al. Level 2",5,993,6,2.42857,3.78125
"181",162,"Clover Spring West","Coconino NF, Mogollon Rim RD",34.50596,-111.36258,2089,"hillslope","anthropogenic",2131356967,"7/22/2013","Kyle Paffett, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",4,994,2,3.42857,2.87708
"182",1083,"Scott Spring","Coconino NF, Mormon Lake RD",35.02612,-111.72134,2014,"hillslope",NA,110082524,"7/19/2013","Krista Sparks, Spencer Harris, and Quintin Van Dyk","Stevens et al. Level 2",2,995,2,2.57143,1.35625
"183",926,"Chalk Point Spring","Coconino NF, Red Rock RD",34.53943,-111.63931,1440,"hillslope",NA,408149639,"10/10/2013","Krista Sparks and Vera Markgraf","Stevens et al. Level 2",5,1002,6,1.42857,4.13958
"184",1042,"Mortgage Spring","Coconino NF, Mormon Lake RD",35.03722,-111.70964,1961,"rheocrene",NA,135537677,"6/24/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",2,1003,5,2.71429,1.95625
"185",308,"Big Sowats Spring","Kaibab NF, North Kaibab RD",36.52332,-112.45528,1828,"hanging garden",NA,1340136531,"6/14/2012","Jeri Ledbetter, Kyle Paffett, Glenn Rink, Anya Fayfer, Ariel Leonard, Dan Taylor, and Larry Stevens","Stevens et al. Level 2",9,392,6,1.375,4.41875
"186",1115,"Turkey Seep","Coconino NF, Mogollon Rim RD",34.72948,-111.11132,1958,"rheocrene",NA,179416183,"8/3/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",2,588,6,1.28571,2.61875
"187",1135,"Wingfield Corral","Coconino NF, Mogollon Rim RD",34.68438,-111.3547,2073,"hillslope","helocrene",-1580774925,"6/20/2012","Kyle Paffett and Tom Bean","Stevens et al. Level 2",3,592,2,3.28571,1.03571
"188",1151,"Yellow Jacket Spring","Coconino NF, Mogollon Rim RD",34.73994,-111.41799,2275,"helocrene",NA,-346968743,"6/20/2012","Kyle Paffett and Tom Bean","Stevens et al. Level 2",3,595,0,5.16667,0.75
"189",429,"Hi Fuller Spring","Coconino NF, Mogollon Rim RD",34.47114,-111.26112,2216,"helocrene",NA,1373916431,"7/12/2013","Krista Sparks, Kyle Paffett, Vera Markgraf, and Abe Springer","Stevens et al. Level 2",7,877,2,2.71429,3.96042
"190",1171,"Devils Head Spring","Coconino NF, Peaks RD",35.24713,-111.62849,2251,"cave",NA,518130838,"6/7/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",5,880,6,2.14286,3.6125
"191",983,"Grapevine Spring","Coconino NF, Mogollon Rim RD",34.85841,-111.26418,2125,"hillslope",NA,1902343845,"7/23/2013","Kyle Paffett, Krista Sparks, Spencer Harris, and Vera Markgraf","Stevens et al. Level 2",6,894,6,1.85714,4.10625
"192",1118,"Wet Beaver Creek middle Unnamed","Coconino NF, Red Rock RD",34.68817,-111.57667,1559,"hanging garden",NA,-2024976226,"8/11/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",7,928,6,1.57143,4.09375
"193",1136,"Winter Cabin Spring","Coconino NF, Peaks RD",35.03272,-111.93503,1908,"hillslope",NA,-796581945,"8/12/2013","Krista Sparks, Spencer Harris","Stevens et al. Level 2",6,929,3,3,3.5625
"194",914,"Buckhorn Ranch Unnamed","Coconino NF, Mogollon Rim RD",34.58827,-111.52102,1752,"hillslope",NA,-203609042,"7/31/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",3,948,1,2.57143,1.76875
"195",907,"Black Spring","Coconino NF, Peaks RD",35.13262,-111.68938,2132,"hillslope",NA,358958674,"7/17/2013","Krista Sparks and Spencer Harris","Stevens et al. Level 2",6,989,2,3.85714,2.70625
"196",740,"Fues Spring","Kaibab NF, Williams RD",35.29862,-112.14101,2075,NA,NA,2146221029,"5/26/2014","A Prescott College Class, Jeri Ledbetter, Larry Stevens, Glenn Rink, and Mason Stansfield","Stevens et al. Level 2",9,1292,1,3.3,1.9
"197",423,"Dora Springs","Coconino NF, Mogollon Rim RD",34.42997,-111.15329,2313,"hillslope",NA,1259645978,"11/10/2009","Larry Stevens, FALA students","Stevens et al. Level 2",10,86,3,3,3.16065
"198",411,"Merritt Springs","Coconino NF, Mogollon Rim RD",34.4529,-111.18319,2274,"hillslope","helocrene",1251496342,"8/22/2009","Larry Stevens, Jeri Ledbetter, Valerie Hallam, Julaire Scott","Stevens et al. Level 2",10,87,5,1.875,4.43889
"199",465,"Jumpup Spring","Kaibab NF, North Kaibab RD",36.5806,-112.54759,1548,"hanging garden",NA,1760778913,"5/21/2011","Glenn Rink, Jeri Ledbetter, Melissa Schaar, and Doug Miller","Stevens et al. Level 2",10,218,2,1.875,4.49954
"200",673,"Lookout Lakes","Kaibab NF, North Kaibab RD",36.46513,-112.18661,2668,"limnocrene",NA,-534504279,"6/25/2011","Larry Stevens, Glenn Rink, Jeri Ledbetter, Frank Romaglia, Lisa Schaller, Victoria Hermosillo, and Andrea Hazelton","Stevens et al. Level 2",10,227,6,2.5,4.41458
"201",762,"Dry Park Lake","Kaibab NF, North Kaibab RD",36.41951,-112.23351,2553,"limnocrene",NA,-96399923,"6/28/2011","Jeri Ledbetter, Dave Kreamer, and Victoria Hermosilla","Stevens et al. Level 2",10,291,5,2.75,3.68125
"202",757,"Lockett Spring","Kaibab NF, Williams RD",35.14878,-112.15251,2159,"helocrene","anthropogenic",1337452832,"5/7/2012","Larry Stevens, Jeri Ledbetter, and Anya Fayfer","Stevens et al. Level 2",9,341,2,4.125,3.70208
"203",373,"Castle Spring","Kaibab NF, North Kaibab RD",36.58623,-112.34149,2195,"hillslope","hanging garden",1339688063,"6/13/2012","Larry Stevens, Glenn Rink, Jeri Ledbetter, Ariel Leonard, Kyle Paffett, Anya Fayfer, and Kumi Isobe","Stevens et al. Level 2",10,384,2,3.875,2.93958
"204",765,"Hat Tank lower","Kaibab NF, Williams RD",35.09281,-112.17659,2036,"rheocrene",NA,-281321730,"6/3/2012","Kyle Paffett, Vera Markgraf","Stevens et al. Level 2",6,789,6,1.85714,4.24405
"205",1072,"Riordan Overpass","Coconino NF, Peaks RD",35.19553,-111.71963,2194,"rheocrene","anthropogenic",1158618625,"8/26/2013","Krista Sparks, Spencer Harris","Stevens et al. Level 2",4,947,1,4.66667,1.61905
"206",717,"Aconitum unnamed springs","Kaibab NF, North Kaibab RD",36.39966,-112.08085,2359,"hillslope",NA,1340219602,"6/17/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Kyle Paffett, Anya Fayfer, and Kumi Isobe.","Stevens et al. Level 2",9,396,6,2,4.85
"207",1047,"Munds Spring","Coconino NF, Mormon Lake RD",34.92063,-111.5717,2110,"helocrene","limnocrene",1366389016,"6/22/2012","Kyle Paffett, Jen Williams, and Vera Markgraf","Stevens et al. Level 2",3,757,0,4.2,1.0375
"208",1000,"Iowa Camp Spring","Coconino NF, Mormon Lake RD",34.89512,-111.42522,2256,"hillslope",NA,1366647561,"8/8/2012","Kyle Paffett, Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",3,779,1,3.14286,1.275
"209",925,"Cedar Spring","Coconino NF, Red Rock RD",34.45393,-111.68292,1272,"rheocrene",NA,1668997301,"8/5/2012","Kyle Paffett, Vera Markgraf, and Gerald Higa","Stevens et al. Level 2",6,784,5,1.85714,3.42619
"210",965,"Flagstaff Spring","Coconino NF, Peaks RD",35.33984,-111.66813,3224,"rheocrene",NA,-1279539782,"6/6/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",4,844,0,2.71429,2.24375
"211",1069,"Raspberry Spring","Coconino NF, Peaks RD",35.34135,-111.64864,2966,"rheocrene",NA,-1742283341,"6/6/2013","Kyle Paffett, Krista Sparks, and Spencer Harris","Stevens et al. Level 2",3,847,0,3.28571,2.24375
"212",924,"Cave Spring","Coconino NF, Red Rock RD",34.99853,-111.74056,1663,"anthropogenic",NA,1298824324,"7/19/2013","Krista Sparks, Spencer Harris, and Quintin Van Dyk","Stevens et al. Level 2",4,987,0,4.28571,1.31875
"213",1091,"Snowslide Spring","Coconino NF, Peaks RD",35.3317,-111.67086,3357,"helocrene","rheocrene",1836559287,"9/27/2013","Larry Stevens","Stevens et al. Level 2",9,1014,5,1.5,4.96042
"214",1144,"Little Spring","Coconino NF, Peaks RD",35.37441,-111.72573,2539,"helocrene","anthropogenic",-1355459782,"9/24/2013","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 1",3,1017,3,3.375,3.43333
"215",768,"Mineral Spring","Kaibab NF, Williams RD",35.25188,-111.9994,2124,"helocrene",NA,2146221028,"5/27/2014","Prescott College Springs Ecology Class 2014: Glenn Rink, Jeri Ledbetter, and Larry Stevens","Stevens et al. Level 2",10,1223,1,3,3.1
"216",750,"Campbell Spring","Kaibab NF, Williams RD",35.15014,-112.23558,1985,"rheocrene",NA,2146221085,"6/21/2014","Larry Stevens, Glenn Rink and Jeri Ledbetter","Stevens et al. Level 2",10,1291,5,1.6,4.1
"217",717,"Aconitum unnamed springs","Kaibab NF, North Kaibab RD",36.39966,-112.08085,2359,"hillslope",NA,-816787537,"6/28/2000","LE Stevens and Zeke Lauck","Stevens/NPS 2000",9,108,6,1.375,4.93651
"218",430,"General Springs","Coconino NF, Mogollon Rim RD",34.45948,-111.24992,2192,"helocrene","rheocrene",1259639552,"9/21/2009","Jeri Ledbetter, Eric North, RJ Johnson, and Denise Hudson","Stevens et al. Level 2",10,65,4,2.875,3.2588
"219",759,"Laws Spring","Kaibab NF, Williams RD",35.4265,-112.06653,2067,"limnocrene","rheocrene",2146221027,"5/26/2014","Larry Stevens, Jeri Ledbetter, Glenn Rink, Jeff Glessing, Lance Murray, Lucky Thomas, Mason Stansfield, Julie Polovitch, and Andy Gosnell","Stevens/GDE hybrid",10,1224,6,1.7,4.3
